order_id,customer_id,product_id,product_name,quantity,order_date,delivery_date,delivered_location,carrier_id,package_type,batch_id
ORD_000001,CUST_0143,APPLE_001,Red Apples,1,2023-11-24,2023-11-25,Kolkata,QuickShip,standard,BATCH_087
ORD_000002,CUST_0224,BERRIES_001,Mixed Berries,2,2023-10-07,2023-10-08,Mumbai,FastDelivery,standard,BATCH_065
ORD_000003,CUST_0285,BERRIES_001,Mixed Berries,1,2023-10-15,2023-10-16,Chennai,SpeedyDelivery,premium,BATCH_098
ORD_000004,CUST_0981,LETTUCE_001,Lettuce,3,2023-12-24,2023-12-26,Kolkata,QuickShip,standard,BATCH_014
ORD_000005,CUST_0128,TOMATO_001,Tomatoes,4,2023-06-26,2023-06-29,Mumbai,SpeedyDelivery,premium,BATCH_011
ORD_000006,CUST_0678,LETTUCE_001,Lettuce,2,2024-02-29,2024-03-03,Chennai,FastDelivery,standard,BATCH_099
ORD_000007,CUST_0651,BANANA_001,Bananas,3,2023-02-10,2023-02-11,Hyderabad,ExpressLogistics,insulated,BATCH_021
ORD_000008,CUST_0747,TOMATO_001,Tomatoes,2,2023-04-18,2023-04-21,Delhi,QuickShip,premium,BATCH_021
ORD_000009,CUST_0842,SPINACH_001,Fresh Spinach,1,2023-05-19,2023-05-22,Pune,FastDelivery,standard,BATCH_041
ORD_000010,CUST_0906,LETTUCE_001,Lettuce,4,2023-02-03,2023-02-04,Chennai,SpeedyDelivery,insulated,BATCH_019
ORD_000011,CUST_0225,TOMATO_001,Tomatoes,2,2023-05-07,2023-05-10,Hyderabad,SpeedyDelivery,insulated,BATCH_066
ORD_000012,CUST_0433,BANANA_001,Bananas,5,2024-01-22,2024-01-23,Bangalore,QuickShip,premium,BATCH_009
ORD_000013,CUST_0907,TOMATO_001,Tomatoes,5,2023-11-02,2023-11-04,Mumbai,FastDelivery,premium,BATCH_097
ORD_000014,CUST_0465,BANANA_001,Bananas,1,2023-11-25,2023-11-27,Kolkata,SpeedyDelivery,standard,BATCH_093
ORD_000015,CUST_0520,AVOCADO_001,Avocados,5,2023-05-15,2023-05-18,Delhi,ExpressLogistics,premium,BATCH_026
ORD_000016,CUST_0952,LETTUCE_001,Lettuce,3,2023-09-29,2023-09-30,Ahmedabad,FastDelivery,standard,BATCH_040
ORD_000017,CUST_0779,BANANA_001,Bananas,5,2023-05-04,2023-05-07,Delhi,SpeedyDelivery,standard,BATCH_099
ORD_000018,CUST_0320,BERRIES_001,Mixed Berries,4,2023-03-26,2023-03-28,Chennai,QuickShip,premium,BATCH_086
ORD_000019,CUST_0066,CARROT_001,Carrots,3,2023-08-13,2023-08-16,Delhi,QuickShip,standard,BATCH_003
ORD_000020,CUST_0647,SPINACH_001,Fresh Spinach,1,2023-04-28,2023-05-01,Mumbai,FastDelivery,premium,BATCH_030
ORD_000021,CUST_0136,TOMATO_001,Tomatoes,5,2023-09-21,2023-09-22,Ahmedabad,QuickShip,premium,BATCH_074
ORD_000022,CUST_0675,BERRIES_001,Mixed Berries,4,2024-02-06,2024-02-08,Chennai,FastDelivery,standard,BATCH_046
ORD_000023,CUST_0746,APPLE_001,Red Apples,3,2023-08-28,2023-08-31,Delhi,FastDelivery,insulated,BATCH_014
ORD_000024,CUST_0286,CARROT_001,Carrots,4,2023-04-08,2023-04-11,Bangalore,SpeedyDelivery,standard,BATCH_032
ORD_000025,CUST_0949,BANANA_001,Bananas,2,2023-02-08,2023-02-10,Mumbai,FastDelivery,standard,BATCH_022
ORD_000026,CUST_0003,BERRIES_001,Mixed Berries,4,2023-09-04,2023-09-05,Mumbai,QuickShip,insulated,BATCH_034
ORD_000027,CUST_0195,TOMATO_001,Tomatoes,3,2024-02-06,2024-02-08,Hyderabad,SpeedyDelivery,standard,BATCH_028
ORD_000028,CUST_0599,APPLE_001,Red Apples,4,2023-10-24,2023-10-27,Pune,FastDelivery,standard,BATCH_065
ORD_000029,CUST_0610,APPLE_001,Red Apples,1,2023-09-29,2023-09-30,Delhi,QuickShip,standard,BATCH_087
ORD_000030,CUST_0674,SPINACH_001,Fresh Spinach,5,2023-07-26,2023-07-27,Mumbai,FastDelivery,insulated,BATCH_073
ORD_000031,CUST_0135,LETTUCE_001,Lettuce,3,2023-05-14,2023-05-15,Chennai,ExpressLogistics,insulated,BATCH_059
ORD_000032,CUST_0551,APPLE_001,Red Apples,2,2024-01-20,2024-01-21,Ahmedabad,FastDelivery,standard,BATCH_065
ORD_000033,CUST_0449,SPINACH_001,Fresh Spinach,5,2023-06-28,2023-06-29,Pune,ExpressLogistics,standard,BATCH_091
ORD_000034,CUST_0271,APPLE_001,Red Apples,1,2024-02-18,2024-02-21,Kolkata,FastDelivery,standard,BATCH_014
ORD_000035,CUST_0704,TOMATO_001,Tomatoes,3,2023-03-21,2023-03-23,Chennai,ExpressLogistics,standard,BATCH_065
ORD_000036,CUST_0342,BERRIES_001,Mixed Berries,2,2023-01-27,2023-01-28,Kolkata,FastDelivery,standard,BATCH_082
ORD_000037,CUST_0078,CARROT_001,Carrots,2,2023-03-24,2023-03-27,Hyderabad,FastDelivery,standard,BATCH_070
ORD_000038,CUST_0216,TOMATO_001,Tomatoes,2,2023-03-07,2023-03-08,Pune,FastDelivery,insulated,BATCH_086
ORD_000039,CUST_0947,BERRIES_001,Mixed Berries,3,2023-03-25,2023-03-26,Mumbai,QuickShip,premium,BATCH_053
ORD_000040,CUST_0894,TOMATO_001,Tomatoes,1,2024-01-12,2024-01-13,Bangalore,FastDelivery,insulated,BATCH_061
ORD_000041,CUST_0025,LETTUCE_001,Lettuce,2,2024-02-23,2024-02-25,Kolkata,QuickShip,standard,BATCH_052
ORD_000042,CUST_0119,LETTUCE_001,Lettuce,3,2023-02-05,2023-02-07,Hyderabad,ExpressLogistics,standard,BATCH_023
ORD_000043,CUST_0806,BANANA_001,Bananas,3,2023-05-16,2023-05-17,Hyderabad,ExpressLogistics,premium,BATCH_056
ORD_000044,CUST_0726,BERRIES_001,Mixed Berries,4,2023-09-19,2023-09-20,Chennai,ExpressLogistics,standard,BATCH_001
ORD_000045,CUST_0972,SPINACH_001,Fresh Spinach,3,2024-02-17,2024-02-20,Pune,SpeedyDelivery,standard,BATCH_080
ORD_000046,CUST_0413,TOMATO_001,Tomatoes,3,2023-03-05,2023-03-08,Kolkata,SpeedyDelivery,insulated,BATCH_071
ORD_000047,CUST_0294,TOMATO_001,Tomatoes,2,2024-01-19,2024-01-20,Hyderabad,FastDelivery,insulated,BATCH_056
ORD_000048,CUST_0692,LETTUCE_001,Lettuce,2,2023-11-07,2023-11-10,Ahmedabad,SpeedyDelivery,insulated,BATCH_066
ORD_000049,CUST_0680,AVOCADO_001,Avocados,5,2024-02-12,2024-02-15,Delhi,ExpressLogistics,premium,BATCH_043
ORD_000050,CUST_0487,AVOCADO_001,Avocados,5,2023-04-26,2023-04-27,Mumbai,FastDelivery,standard,BATCH_099
ORD_000051,CUST_0672,CARROT_001,Carrots,1,2023-12-23,2023-12-25,Hyderabad,QuickShip,standard,BATCH_097
ORD_000052,CUST_0571,SPINACH_001,Fresh Spinach,2,2023-02-24,2023-02-26,Bangalore,SpeedyDelivery,standard,BATCH_016
ORD_000053,CUST_0457,LETTUCE_001,Lettuce,2,2024-02-15,2024-02-17,Ahmedabad,SpeedyDelivery,premium,BATCH_096
ORD_000054,CUST_0245,SPINACH_001,Fresh Spinach,3,2023-08-19,2023-08-21,Kolkata,SpeedyDelivery,premium,BATCH_057
ORD_000055,CUST_0393,BANANA_001,Bananas,2,2023-06-21,2023-06-23,Bangalore,QuickShip,standard,BATCH_091
ORD_000056,CUST_0399,BERRIES_001,Mixed Berries,5,2023-10-05,2023-10-07,Mumbai,QuickShip,insulated,BATCH_090
ORD_000057,CUST_0766,TOMATO_001,Tomatoes,5,2023-01-04,2023-01-06,Hyderabad,SpeedyDelivery,premium,BATCH_078
ORD_000058,CUST_0399,TOMATO_001,Tomatoes,3,2023-09-07,2023-09-08,Hyderabad,SpeedyDelivery,standard,BATCH_086
ORD_000059,CUST_0547,AVOCADO_001,Avocados,1,2023-07-27,2023-07-30,Ahmedabad,QuickShip,premium,BATCH_051
ORD_000060,CUST_0187,BANANA_001,Bananas,1,2023-12-06,2023-12-07,Hyderabad,QuickShip,insulated,BATCH_034
ORD_000061,CUST_0771,LETTUCE_001,Lettuce,4,2023-04-19,2023-04-21,Pune,SpeedyDelivery,insulated,BATCH_033
ORD_000062,CUST_0071,APPLE_001,Red Apples,1,2023-08-29,2023-08-30,Pune,QuickShip,premium,BATCH_097
ORD_000063,CUST_0686,AVOCADO_001,Avocados,1,2023-01-11,2023-01-14,Chennai,QuickShip,insulated,BATCH_073
ORD_000064,CUST_0622,TOMATO_001,Tomatoes,1,2023-08-27,2023-08-30,Pune,QuickShip,premium,BATCH_100
ORD_000065,CUST_0965,APPLE_001,Red Apples,2,2023-06-09,2023-06-10,Kolkata,SpeedyDelivery,insulated,BATCH_010
ORD_000066,CUST_0615,SPINACH_001,Fresh Spinach,1,2024-03-01,2024-03-04,Delhi,ExpressLogistics,premium,BATCH_073
ORD_000067,CUST_0664,BERRIES_001,Mixed Berries,3,2023-06-27,2023-06-30,Pune,FastDelivery,premium,BATCH_002
ORD_000068,CUST_0913,BANANA_001,Bananas,4,2024-02-26,2024-02-28,Hyderabad,ExpressLogistics,premium,BATCH_091
ORD_000069,CUST_0846,TOMATO_001,Tomatoes,5,2023-04-01,2023-04-04,Ahmedabad,SpeedyDelivery,insulated,BATCH_035
ORD_000070,CUST_0584,TOMATO_001,Tomatoes,5,2023-05-06,2023-05-07,Ahmedabad,QuickShip,insulated,BATCH_086
ORD_000071,CUST_0364,LETTUCE_001,Lettuce,3,2023-01-15,2023-01-17,Bangalore,SpeedyDelivery,standard,BATCH_044
ORD_000072,CUST_0248,TOMATO_001,Tomatoes,4,2023-11-02,2023-11-05,Mumbai,QuickShip,standard,BATCH_063
ORD_000073,CUST_0096,CARROT_001,Carrots,3,2023-05-04,2023-05-07,Ahmedabad,SpeedyDelivery,standard,BATCH_029
ORD_000074,CUST_0764,LETTUCE_001,Lettuce,5,2023-05-05,2023-05-07,Ahmedabad,ExpressLogistics,insulated,BATCH_043
ORD_000075,CUST_0739,TOMATO_001,Tomatoes,2,2023-08-21,2023-08-23,Kolkata,QuickShip,standard,BATCH_041
ORD_000076,CUST_0304,TOMATO_001,Tomatoes,2,2024-01-14,2024-01-16,Kolkata,FastDelivery,standard,BATCH_047
ORD_000077,CUST_0894,TOMATO_001,Tomatoes,1,2023-01-24,2023-01-25,Bangalore,SpeedyDelivery,standard,BATCH_074
